xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 政治制度;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
chc_socialist_republic;新民主主义制度;;;;;;;;;;;;;x
chc_socialist_republic_ruler;主席;;;;;;;;;;;;;x
prc_socialist_republic;社会主义制度;;;;;;;;;;;;;x
prc_socialist_republic_ruler;主席;;;;;;;;;;;;;x
chinese_warlord;中国新军阀政权;;;;;;;;;;;;;x
chinese_warlord_ruler;将军;;;;;;;;;;;;;x
socialist_republic;苏维埃共和制度;;;;;;;;;;;;;x
#prc_xiaoping_republic;修正主义制度;;;;;;;;;;;;;x
#prc_xiaoping_republic_ruler;总设计师;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 法案;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
chc_totalitarian_system;人民民主专政;;;;;;;;;;;;;x
chc_totalitarian_system_desc;运用适当的土地政策,改善人民的生活。\n加上广泛的民主选举,使人民参政,并且和我们紧密的联系在一起.;;;;;;;;;;;;;x
