xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 国家;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
national_socialist_PRC;九三学社;;;;;;;;;;;;;x
fascistic_PRC;中国致公党;;;;;;;;;;;;;x
paternal_autocrat_PRC;台湾民主自治同盟;;;;;;;;;;;;;x
social_conservative_PRC;无党派人士;;;;;;;;;;;;;x
market_liberal_PRC;中国民主建国会;;;;;;;;;;;;;x
social_liberal_PRC;中国民主同盟;;;;;;;;;;;;;x
social_democrat_PRC;中国民主促进会;;;;;;;;;;;;;x
left_wing_radical_PRC;中国农工民主党;;;;;;;;;;;;;x
leninist_PRC;中国国民党革命委员会;;;;;;;;;;;;;x
stalinist_PRC;中国共产党;;;;;;;;;;;;;x
PRC;中华人民共和国;;;;;;;;;;;;;x
PRC_ADJ;中国的;;;;;;;;;;;;;x
ROC;中华民国;;;;;;;;;;;;;x
ROC_ADJ;中国的;;;;;;;;;;;;;x
national_socialist_ROC;国家社会主义党;;;;;;;;;;;;;x
fascistic_ROC;中国青年党;;;;;;;;;;;;;x
paternal_autocrat_ROC;中国国民党;;;;;;;;;;;;;x
social_conservative_ROC;保皇党;;;;;;;;;;;;;x
market_liberal_ROC;立宪党;;;;;;;;;;;;;x
social_liberal_ROC;维新党;;;;;;;;;;;;;x
social_democrat_ROC;进步党;;;;;;;;;;;;;x
left_wing_radical_ROC;五四运动;;;;;;;;;;;;;x
leninist_ROC;中国工农党;;;;;;;;;;;;;x
stalinist_ROC;中国共产党;;;;;;;;;;;;;x
national_socialist_CXB;川康系;;;;;;;;;;;;;x
fascistic_CXB;西北军;;;;;;;;;;;;;x
paternal_autocrat_CXB;张杨联军;;;;;;;;;;;;;x
social_conservative_CXB;国民党抗战派;;;;;;;;;;;;;x
market_liberal_CXB;媚日派;;;;;;;;;;;;;x
social_liberal_CXB;媚何派;;;;;;;;;;;;;x
social_democrat_CXB;无政府主义;;;;;;;;;;;;;x
left_wing_radical_CXB;绥军;;;;;;;;;;;;;x
leninist_CXB;桂系;;;;;;;;;;;;;x
stalinist_CXB;中国共产党;;;;;;;;;;;;;x
CXB;西北国防政府;;;;;;;;;;;;;x
CXB_ADJ;中国的;;;;;;;;;;;;;x
CQM;青海马步芳集团;;;;;;;;;;;;;x
CQM_ADJ;中国的;;;;;;;;;;;;;x
national_socialist_CQM;国家社会主义党;;;;;;;;;;;;;x
fascistic_CQM;中国青年党;;;;;;;;;;;;;x
paternal_autocrat_CQM;青海马家军;;;;;;;;;;;;;x
social_conservative_CQM;保皇党;;;;;;;;;;;;;x
market_liberal_CQM;立宪党;;;;;;;;;;;;;x
social_liberalCQM;维新党;;;;;;;;;;;;;x
social_democratCQM;进步党;;;;;;;;;;;;;x
left_wing_radical_CQM;五四运动;;;;;;;;;;;;;x
leninist_CQM;中国工农党;;;;;;;;;;;;;x
stalinist_CQM;中国共产党;;;;;;;;;;;;;x
CNM;宁夏马鸿逵集团;;;;;;;;;;;;;x
CNM_ADJ;中国的;;;;;;;;;;;;;x
national_socialist_CNM;国家社会主义党;;;;;;;;;;;;;x
fascistic_CNM;中国青年党;;;;;;;;;;;;;x
paternal_autocrat_CNM;宁夏马家军;;;;;;;;;;;;;x
social_conservative_CNM;保皇党;;;;;;;;;;;;;x
market_liberal_CNM;立宪党;;;;;;;;;;;;;x
social_liberalCNM;维新党;;;;;;;;;;;;;x
social_democratCNM;进步党;;;;;;;;;;;;;x
left_wing_radical_CNM;五四运动;;;;;;;;;;;;;x
leninist_CNM;中国工农党;;;;;;;;;;;;;x
stalinist_CNM;中国共产党;;;;;;;;;;;;;x
CDB;西北剿总;;;;;;;;;;;;;x
CDB_ADJ;中国的;;;;;;;;;;;;;x
national_socialist_CDB;国家社会主义党;;;;;;;;;;;;;x
fascistic_CDB;中国青年党;;;;;;;;;;;;;x
paternal_autocrat_CDB;张杨联军;;;;;;;;;;;;;x
social_conservative_CDB;保皇党;;;;;;;;;;;;;x
market_liberal_CDB;立宪党;;;;;;;;;;;;;x
social_liberalCDB;维新党;;;;;;;;;;;;;x
social_democratCDB;进步党;;;;;;;;;;;;;x
left_wing_radical_CDB;五四运动;;;;;;;;;;;;;x
leninist_CDB;中国工农党;;;;;;;;;;;;;x
stalinist_CDB;中国共产党;;;;;;;;;;;;;x
CSY;绥军;;;;;;;;;;;;;x
CSY_ADJ;中国的;;;;;;;;;;;;;x
national_socialist_CSY;国家社会主义党;;;;;;;;;;;;;x
fascistic_CSY;中国青年党;;;;;;;;;;;;;x
paternal_autocrat_CSY;晋系·晋南派;;;;;;;;;;;;;x
social_conservative_CSY;保皇党;;;;;;;;;;;;;x
market_liberal_CSY;立宪党;;;;;;;;;;;;;x
social_liberal_CSY;维新党;;;;;;;;;;;;;x
social_democrat_CSY;进步党;;;;;;;;;;;;;x
