#######################################;;;;;;;;;;;;;;;x
# 决议;;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;;x
#_title;;;;;;;;;;;;;;;x
#_desc;;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;;x
# 文本事件;;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;;x
CHI_Event_551_title;国民政府军事委员会组建苏式攻击军;;;;;;;;;;;;;;x
CHI_Event_552_title;国民政府军事委员会组建美式步兵师;;;;;;;;;;;;;;x
CHI_Event_553_title;国民政府军事委员会组建装甲团;;;;;;;;;;;;;;x
CHI_Event_553_decs;自从1933年开启军事改革以来,为学习国外先进技战术经验,国民政府派出徐庭瑶赴海外学习装甲兵技术。徐归国后便主导购买各式国外装甲兵器,建设直属于军委会的装甲兵团。这被看作是国民革命军在机械化作战上的一次尝试。\n不过在战略、战术思维仍停留在一战的中国来说,这支装甲兵部队起到的作用或许并不显著。;;;;;;;;;;;;;;x
CHI_Event_3019_title;中国远征军入缅作战失利;;;;;;;;;;;;;;x
CHI_Event_3019_decs;即使中国政府拿出了最大的决心和勇气决意支援东南亚战局,保护滇缅公路,承担盟国责任。但在英、美、中三方指挥混乱,英国的弃缅保印战略的影响下,入缅作战的远征军面对气焰正盛的日本南方军可谓独木难支,虽取得一定战果,但不免败亡危局。在缅甸失守后,部分远征军撤往印度进行整训,另一部分则翻越野人山回国......;;;;;;;;;;;;;;x
CHI_Event_559_op1;悲乎哀哉;;;;;;;;;;;;;;x
CHI_Event_550_op;又是一支新生力量;;;;;;;;;;;;;;x
CHI_Event_552_decs;缅甸战局失利后,损失惨重的中国远征军有部分残部退至印度并在当地接受整训,美国人派出了教官训练中国军官,也提供美国制式武器武装这支部队。不久后,国民政府军委会决定将在印度的这支部队改组为‘中国驻印军’,这是一支接受美国训练和装备的全新的武装力量,期待他们能在未来发挥更大作用。;;;;;;;;;;;;;;x
The_Migration_Period1title;保存抗战力量,沿海工业内迁;;;;;;;;;;;;;;x
Migration_Period1_desc;随着战火自华北扩散至长江下游,敌军的进攻如潮水般涌向东南沿海。上海、南京、青岛等重要港口城市的炮火连天,工厂烟囱在空袭中被炸断,机器在瓦砾间沉默。昔日的工业中心化为火海,中国的经济命脉危在旦夕。\n国民政府深知这是中国为数不多的工业力量,若是尽数被敌军毁灭,中国抗战将难以为继。在贺国光入川主持大后方建设及国府内迁后勤事宜后,国民政府审时度势,终于决定将沿海重要工业设施和技术人员大规模内迁至内陆腹地,以保存这批宝贵的工业力量,为抗战提供坚实的后勤保障。;;;;;;;;;;;;;;x
The_Migration_Period1op;实业救国!实业救国!;;;;;;;;;;;;;;x
The_Migration_Period2title;日军进犯东南沿海,闽、粤二省工业转移;;;;;;;;;;;;;;x
Migration_Period2_desc;自厦门、福州、广州等东南沿海重镇相继沦陷后,华南的工业已然面临敌寇的直接打击。福建机械制造局、厦门兵工厂、广州铁工厂、珠江沿岸的轻工业——这些原本支撑华南经济的机构,在敌机轰炸与海防紧逼下,随时可能化为废墟。为保存为数不多的抗战有生力量,国民政府决意将华南地区剩余的工厂迁往贵州、云南等大后方。;;;;;;;;;;;;;;x
The_Migration_Period3title;内迁的工厂在大后方重新运转;;;;;;;;;;;;;;x
Migration_Period3_desc;1940年后,随着抗战陷入战略僵持,全国局势趋于稳定,大后方建设颇有成效,从沿海等重要城市内迁的工厂在大后方形成了11个具有规模的工业区。即使由于国民政府的腐败、日军对敌后的轰炸,这11个工业区都相当孱弱,但它们极大程度上保留了中国为数不多的工业根基与战争资本,是持久抗战的物质基础,更是抗战大迁徙的伟大壮举!;;;;;;;;;;;;;;x
The_Migration_Period2op;他们是国家的未来!;;;;;;;;;;;;;;x
The_Migration_Period4title;重要城市各高等院校向大后方迁移;;;;;;;;;;;;;;x
Migration_Period4_desc;随着战火沿江沿海蔓延,中国的工业被迫向内地迁移,而另一场同样深远的迁徙,也在悄然发生。自从,中国军队先后在平绥路、京沪线溃败后,天津、北平、青岛、上海、南京等重要城市纷纷沦陷,中国各高等学府无一例外正笼罩于战争阴云之中——校舍被炸毁,图书馆被焚,教室化为废墟。学者与学生被迫背井离乡,踏上逃难与求学交织的道路。\n为保存这批未来的国家栋梁,国民政府决定组织各大高校迁往后方,为抗战的未来储备力量。北京大学、清华大学、南开大学三校南下,历经炮火、饥馑与长途跋涉,最终在昆明汇合,建立了举世闻名的西南联大；与此同时,中央大学迁往重庆,复旦大学在江湾与贵阳间多地辗转,同济大学跋涉过广西、云南的山区直至四川李庄,浙江大学跋涉千里越过赣南与湘西山区“千里转校”,最终抵达贵州遵义。医学院、工学院、法学院与师范机构也随之组成学术迁移的洪流。;;;;;;;;;;;;;;x
The_Migration_Period1op;这是民族精神的光辉时刻;;;;;;;;;;;;;;x
The_Migration_Period11title;东南沿海高校内迁;;;;;;;;;;;;;;x
Migration_Period11_desc;随着日军占领厦门、广州等东南重镇,东南沿海也已太平不再。福建、广东省的高校为远离战火,救亡图存,也纷纷踏上内迁之路。厦门大学、中山大学等高校先后迁往长汀、赣州、衡阳等地,继续为抗战培养人才,保存学术火种。\n尽管内迁路途艰险,条件简陋,但这些高校师生秉持着“救亡图存”的信念,克服重重困难,在新的环境中继续教学与科研工作,为抗战贡献了不可磨灭的力量。;;;;;;;;;;;;;;x
The_Migration_Period8title;国立西南联合大学在昆明成立;;;;;;;;;;;;;;x
Migration_Period8_desc;北平沦陷、华北烽烟不断后,京津学界所象征的文化中心被迫四处迁徙。北大南迁长沙,清华与南开辗转从天津、北平一路撤离；但长沙亦难久安,战火逼近时,三校被迫再次启程——此去千里,翻山越岭,直向西南边陲。车厢拥挤,山路漫长,教授们背着书箱,学生们抬着仪器,一路躲避空袭与封锁,穿越湘桂交界的群山。有人在途中病逝,有人掉队失踪,但更多的人执着地走向前方,因为他们心中仍有比战争更高的信念——知识与自由的火种不能熄灭。1938年春,经过艰难的迁徙,流亡的北大、清华、南开三校终于在云南昆明会合。在城郊的荒地上、在简易教室与竹棚里,学者们重新排列桌椅,学生们用石灰刷白黑板,一所屹立于战火中的大学宣布诞生：;;;;;;;;;;;;;;x
The_Migration_Period3op;内树学术之自由,外立民主之堡垒!;;;;;;;;;;;;;;x
The_Migration_Period12title;国民政府训令建立西北联合大学;;;;;;;;;;;;;;x
Migration_Period12_desc;抗战全面爆发后,华北学府或遭破坏,或被迫南迁,而西北地带因地处偏远,成为战火尚未触及的净土,平津地区部分高校亦内迁于此。\n1938年冬,教育部向重庆的国民政府呈报：“西北各省虽地处边陲,但人文未开、教育薄弱。若能整合资源,联合办学,可成我中华战时教育第二重镇。”蒋介石亦批准此议,并特令教育部以“战时合并”“区域协作”为原则,训令甘肃、陕西、宁夏等地的国立院校合组为西北联合大学。\n该校以兰州为中心,同时设分部于西安、天水等城市。迁来的教师来自各地,有从北平辗转避难的学者,也有守在黄土高原数十年的老教授；学生中既有地方青丁,也有为求一条学问之路徒步千里来到西北的青年。在黄河古道的风沙中,他们搭建起教室,用木板拼桌,用石灰画黑板。讲堂里,教授们讲述地质、医学、农学、史学——这些在战时依然重要的知识；学生们背诵课文、钻研数理,即便外面是漫天风沙,他们依旧坚持学习。西北相比西南更为贫瘠,但也更为沉稳。“教育不能空白,文化不能中断。”这是国民政府设立西北联大的真正目的：在国家最黑暗的日子里,让知识的火光不只在昆明闪耀,也在黄土高原上延续。西北联合大学的成立,为陕甘宁乃至整个西北地区带来了前所未有的文化活力,也成为战时中国另一处坚韧的学术灯塔。;;;;;;;;;;;;;;x
The_Migration_Period4op;他们永远留在了西北;;;;;;;;;;;;;;x
The_Migration_Period13title;华西坝五校联合办学;;;;;;;;;;;;;;x
Migration_Period13_desc;当战火席卷华北与东南沿海,全国高校纷纷迁徙奔赴西南时,华西坝也在另一种沉默与坚忍中迎来它的历史时刻。华西坝区域原本是华西协合大学、华西医学院、华西女子文理学院、华西联合中学、华西工学院等教会大学的集中地。多年来,来自欧美的传教机构与中国本地学者在此共存共教,使四川盆地孕育出一处独特的学术共同体。随着抗战加剧,各高校陆续迁入四川,人潮涌动、科研仪器的木箱堆满街道,各类学院纷纷在成都城内外设立临时办学点。\n 1938 年,认识到华西坝区域无可替代的重要的教育地位的教育部训令川省当局,会同华西教会大学系统,正式推动五校开展全面联合办学与资源整合。随着五校的联合运行,华西坝成为大后方不可替代的医学与科研中心：无数战地医生、药剂师、护士从这里走向前线,许多科学研究如火种般在此延续,而来自全国的流亡学生在这里找到了新的学习之所。在饥荒、轰炸与动员的时代里,华西坝的校园是难得的一片清明之地。它不是远离战火,而是在战火中默默守护民族的科学与未来。;;;;;;;;;;;;;;x
henan_faminetitle;河南省爆发严重饥荒;;;;;;;;;;;;;;x
henan_faminedecs;连年战火已经让中原满目疮痍。河南,这片古称“天下之中”的土地,在花园口决堤后,土地肥力便不断下降,农作物产量越发低迷。自从1940年后,农业生产更是在敌军扫荡、旱灾、蝗灾与征粮的多重影响下受到严重打击。\n不堪重负的河南省终于在1941年深秋过后爆发严重饥荒,数百万河南百姓陷入饥饿与死亡的边缘。面对这场早已被埋下伏笔的人道主义灾难,为了国际观瞻的国民政府选择隐瞒灾情,虽调拨少量粮食与物资前往河南,可不过是杯水车薪。大灾当前,蒋鼎文、汤恩伯的征粮却丝毫不放松,更是为本就奄奄一息的中原大地蒙上了更深的阴影。;;;;;;;;;;;;;;x
henan_famineoption1;天下黎民到底何以为继?;;;;;;;;;;;;;;x
FG1qhop;我们又将孤军奋战;;;;;;;;;;;;;;x
