xxxx;;;;;;;;;;;;;;x
PARLIAMENT_TITLE;议会席位;;;;;;;;;;;;;x
PARLIAMENT_SELECTED_SEAT;选中席位;;;;;;;;;;;;;x
PARLIAMENT_PARTY_GREEN;绿党;;;;;;;;;;;;;x
PARLIAMENT_PARTY_RED;社会党;;;;;;;;;;;;;x
PARLIAMENT_PARTY_BLUE;自由党;;;;;;;;;;;;;x
PARLIAMENT_PARTY_YELLOW;保守党;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_LABEL;席位预设;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_1;绿党主导;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_2;绿党优势;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_3;红绿竞逐;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_4;四党接近（偏绿）;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_5;四党均衡;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_6;四党接近（偏黄）;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_7;蓝黄竞逐;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_8;保守党优势;;;;;;;;;;;;;x
PARLIAMENT_SCENARIO_9;保守党主导;;;;;;;;;;;;;x
